player_name,team_initials,match_id,line_up,event,position,shirt_number
RAMOS CHRISTIAN,PER,38,,,,
FLORES EDISON,PER,38,,,,
TRAUCO MIGUEL,PER,38,,,,
CORZO ALDO,PER,38,,,,
CARTAGENA WILDER,PER,38,,,,
ARAUJO MIGUEL,PER,38,,,,
CARRILLO ANDRE,PER,38,,G18',,
RODRIGUEZ ALBERTO,PER,38,,,,
CACEDA CARLOS,PER,38,,,GK,
GALLESE PEDRO,PER,38,,,GK,
ADVINCULA LUIS,PER,38,,,,
SANTAMARIA ANDERSON,PER,38,,,,
CARVALLO JOSE,PER,38,,,GK,
FARFAN JEFFERSON,PER,38,,,,
TAPIA RENATO,PER,38,,,,
GUERRERO PAOLO,PER,38,,G50',,
player_name,team_initials,match_id,line_up,event,position,shirt_number
MERTENS DRIES,BEL,63,,,,
CARRASCO YANNICK,BEL,63,,,,
DE BRUYNE KEVIN,BEL,63,,,,
HAZARD THORGAN,BEL,63,,,,
TIELEMANS YOURI,BEL,63,,,,
WITSEL AXEL,BEL,63,,,,
HAZARD EDEN,BEL,63,,G82',,
JANUZAJ ADNAN,BEL,63,,,,
DENDONCKER LEANDER,BEL,63,,,,
BATSHUAYI MICHY,BEL,63,,,,
VERMAELEN THOMAS,BEL,63,,,,
ALDERWEIRELD TOBY,BEL,63,,,,
DEMBELE MOUSSA,BEL,63,,,,
BOYATA DEDRYCK,BEL,63,,,,
KOMPANY VINCENT,BEL,63,,,,
FELLAINI MAROUANE,BEL,63,,,,
CHADLI NACER,BEL,63,,,,
VERTONGHEN JAN,BEL,63,,,,
CASTEELS KOEN,BEL,63,,,GK,
MIGNOLET SIMON,BEL,63,,,GK,
MEUNIER THOMAS,BEL,63,,G04',,
COURTOIS THIBAUT,BEL,63,,,GK,
LUKAKU ROMELU,BEL,63,,,,
LINGARD JESSE,ENG,63,,,,
STERLING RAHEEM,ENG,63,,,,
ALEXANDER-ARNOLD TRENT,ENG,63,,,,
PICKFORD JORDAN,ENG,63,,,GK,
STONES JOHN,ENG,63,,,,
TRIPPIER KIERAN,ENG,63,,,,
JONES PHIL,ENG,63,,,,
LOFTUS-CHEEK RUBEN,ENG,63,,,,
ROSE DANNY,ENG,63,,,,
ALLI DELE,ENG,63,,,,
POPE NICK,ENG,63,,,GK,
WELBECK DANNY,ENG,63,,,,
DELPH FABIAN,ENG,63,,,,
YOUNG ASHLEY,ENG,63,,,,
RASHFORD MARCUS,ENG,63,,,,
VARDY JAMIE,ENG,63,,,,
HENDERSON JORDAN,ENG,63,,,,
WALKER KYLE,ENG,63,,,,
CAHILL GARY,ENG,63,,,,
DIER ERIC,ENG,63,,,,
BUTLAND JACK,ENG,63,,,GK,
MAGUIRE HARRY,ENG,63,,,,
KANE HARRY,ENG,63,,,,
player_name,team_initials,match_id,line_up,event,position,shirt_number
MERTENS DRIES,BEL,54,,,,
CARRASCO YANNICK,BEL,54,,,,
DE BRUYNE KEVIN,BEL,54,,,,
HAZARD THORGAN,BEL,54,,,,
TIELEMANS YOURI,BEL,54,,,,
WITSEL AXEL,BEL,54,,,,
HAZARD EDEN,BEL,54,,,,
JANUZAJ ADNAN,BEL,54,,,,
