match_id,stage,date_time,stadium,home_team_name,away_team_name,group,result,years,city,home_team_goals,away_team_goals,win_conditions,attendance_match,half_time_home_goals,half_time_away_goals,referee,assistant1,assistant2,round_id,home_team_initials,away_team_initials
32,Group 8,24/06/2018 21:00,Kazan Arena,Poland,Colombia,Group H,0 - 3,2018,Kazan,0,3,,42873,0,1,César Arturo Ramos (Mex),,,,POL,COL
33,Group 1,25/06/2018 17:00,Samara Stadium,Uruguay,Russia,Group A,3 - 0,2018,Samara,3,0,,41970,2,0,Malang Diedhiou (Sen),,,,URU,RUS
34,Group 1,25/06/2018 17:00,Volgograd Stadium,Saudi Arabia,Egypt,Group A,2 - 1,2018,Volgograd,2,1,,36823,1,1,Wilmar Roldán (Col),,,,KSA,EGY
35,Group 2,25/06/2018 21:00,Saransk Stadium,Iran,Portugal,Group B,1 - 1,2018,Saransk,1,1,,41685,0,1,Enrique Cáceres (Par),,,,IRN,POR
36,Group 2,25/06/2018 21:00,Kaliningrad Stadium,Spain,Morocco,Group B,2 - 2,2018,Kaliningrad,2,2,,33973,1,1,Ravshan Irmatov (Uzb),,,,ESP,MAR
37,Group 3,26/06/2018 17:00,Luzhniki Stadium Moscow,Denmark,France,Group C,0 - 0,2018,Moscow,0,0,,78011,0,0,Sandro Ricci (Bra),,,,DEN,FRA
38,Group 3,26/06/2018 17:00,Fisht Stadium Sochi,Australia,Peru,Group C,0 - 2,2018,Sochi,0,2,,44073,0,1,Sergei Karasev (Rus),,,,AUS,PER
39,Group 4,26/06/2018 21:00,Saint Petersburg Stadium,Nigeria,Argentina,Group D,1 - 2,2018,Saint Petersburg,1,2,,64468,0,1,Cüneyt Çak?r (Tur),,,,NGA,ARG
40,Group 4,26/06/2018 21:00,Rostov-on-Don Stadium,Iceland,Croatia,Group D,1 - 2,2018,Rostov-on-Don,1,2,,43472,0,0,Antonio Mateu Lahoz (Esp),,,,ISL,CRO
41,Group 6,27/06/2018 17:00,Ekaterinburg Stadium,Mexico,Sweden,Group F,0 - 3,2018,Yekaterinburg,0,3,,33061,0,0,Néstor Pitana (Arg),,,,MEX,SWE
72,Group 6,27/06/2018 17:00,Kazan Arena,Korea Republic,Germany,Group F,2 - 0,2018,Kazan,2,0,,41835,0,0,Mark Geiger (Usa),,,,KOR,GER
79,Group 5,27/06/2018 21:00,Otkrytiye Arena Moscow,Serbia,Brazil,Group E,0 - 2,2018,Moscow,0,2,,44190,0,1,Alireza Faghani (Irn),,,,SRB,BRA
44,Group 5,27/06/2018 21:00,Nizhny Novgorod Stadium,Switzerland,Costa Rica,Group E,2 - 2,2018,Nizhny Novgorod,2,2,,44190,1,0,Clément Turpin (Fra),,,,SUI,CRC
45,Group 8,28/06/2018 17:00,Volgograd Stadium,Japan,Poland,Group H,0 - 1,2018,Volgograd,0,1,,42189,0,0,Janny Sikazwe (Zam),,,,JPN,POL
46,Group 8,28/06/2018 17:00,Samara Stadium,Senegal,Colombia,Group H,0 - 1,2018,Samara,0,1,,41970,0,0,Milorad Mažiæ (Srb),,,,SEN,COL
47,Group 7,28/06/2018 21:00,Saransk Stadium,Panama,Tunisia,Group G,1 - 2,2018,Saransk,1,2,,37168,1,0,Nawaf Shukralla (Bhr),,,,PAN,TUN
80,Group 7,28/06/2018 21:00,Kaliningrad Stadium,England,Belgium,Group G,0 - 1,2018,Kaliningrad,0,1,,33973,0,0,Damir Skomina (Svn),,,,ENG,BEL
49,Round of 16,30/06/2018 17:00,Kazan Arena,France,Argentina,,4 - 3,2018,Kazan,4,3,,42873,1,1,Alireza Faghani (Irn),,,,FRA,ARG
50,Round of 16,30/06/2018 21:00,Fisht Stadium Sochi,Uruguay,Portugal,,2 - 1,2018,Sochi,2,1,,44287,1,0,César Arturo Ramos (Mex),,,,URU,POR
51,Round of 16,01/07/2018 17:00,Luzhniki Stadium Moscow,Spain,Russia,,1 - 1,2018,Moscow,1,1,Russia win of penalties 3-4,78011,1,1,Björn Kuipers (Ned),,,,ESP,RUS
